id,Action
1,0.17127283983951067
2,1
3,1
4,1
5,1
6,1
7,0.8000177184647868
8,1
9,0.15257042005953955
10,1
11,1
12,1
13,1
14,0.9434280431958643
15,0.7197679126435231
16,1
17,1
18,0.5223934575694887
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,0.8448951822933235
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,0.8008772386467767
40,0.7316100884271142
41,1
42,1
43,0.8657371770026641
44,0.8212010385805866
45,0.9314618634391905
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,0.9804380600380389
55,0.9937229934212055
56,0.9937229934212055
57,0.8537065865192549
58,1
59,1
60,1
61,1
62,0.4864913754704846
63,1
64,1
65,1
66,1
67,1
68,1
69,0.8960161817201905
70,0
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,0.19853302138558343
79,0.23588436363421747
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0.6169092053917393
91,0.7578386297869881
92,0.1903837045545173
93,1
94,1
95,1
96,1
97,0.28023208735647687
98,1
99,1
100,1
101,1
102,0.45137800107063736
103,1
104,0.9937229934212055
105,0
106,0.39906517414262765
107,1
108,1
109,1
110,1
111,0.3646539656743252
112,1
113,1
114,1
115,0.9104090498465276
116,1
117,1
118,1
119,1
120,1
121,0.8601140996211863
122,0.9937229934212055
123,0.9741610534592444
124,0.8537065865192549
125,1
126,0.47689279848978866
127,0.8897391751413961
128,0.4590310487758903
129,1
130,0.9463111319455318
131,1
132,0.9804380600380389
133,1
134,0.8897391751413961
135,1
136,0.8897391751413961
137,1
138,1
139,0.3305270375818181
140,1
141,1
142,0.7316100884271142
143,1
144,1
145,1
146,0.9741610534592444
147,0.8714959888059278
148,0.4012099769706462
149,0.9314618634391905
150,1
151,1
152,0.7656065099964843
153,1
154,0
155,1
156,0.8594601704238696
157,1
158,1
159,1
160,0.9400341253667374
161,0
162,0.8474295799404604
163,1
164,1
165,1
166,1
167,0.6138956101189347
168,1
169,0.9400341253667374
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,0.3550472304960808
178,1
179,1
180,0.8714959888059278
181,0
182,0.9463111319455318
183,1
184,0.15510481770667645
185,1
186,0.6364711453537004
187,1
188,1
189,0.5915213340979382
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,0.3553795378152335
201,1
202,0
203,0.8845701033057721
204,0.9937229934212055
205,0.9658730719074929
206,1
207,1
208,1
209,0.6793639779722217
210,1
211,1
212,1
213,1
214,0.9804380600380389
215,1
216,0.6858984171995033
217,0.9400341253667374
