id,Action
1,0.875
2,1
3,0.999
4,1
5,1
6,1
7,0.961
8,1
9,1
10,0.994
11,0.999
12,0.999
13,1
14,0.088
15,0.956
16,0.999
17,0.061
18,0.43
19,1
20,0.999
21,1
22,0.998
23,1
24,0.995
25,1
26,0.723
27,0.998
28,1
29,0.999
30,0.994
31,1
32,1
33,1
34,1
35,1
36,1
37,0.998
38,1
39,1
40,1
41,0.399
42,1
43,1
44,1
45,1
46,0.995
47,0.999
48,1
49,1
50,1
51,0.981
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,0.995
67,1
68,1
69,0.999
70,0.137
71,1
72,1
73,1
74,1
75,0.972
76,1
77,1
78,1
79,0.707
80,1
81,0.999
82,1
83,1
84,0.999
85,1
86,1
87,1
88,1
89,1
90,0.845
91,1
92,0.089
93,1
94,1
95,1
96,1
97,0.165
98,1
99,0.999
100,1
101,0.923
102,0.998
103,1
104,1
105,0.699
106,0.996
107,1
108,1
109,0.999
110,1
111,0.502
112,1
113,0.981
114,1
115,1
116,1
117,0.954
118,1
119,1
120,1
121,0.687
122,1
123,0.998
124,1
125,1
126,0.56
127,1
128,0.896
129,1
130,1
131,0.997
132,1
133,1
134,0.722
135,1
136,1
137,1
138,0.897
139,1
140,1
141,0.998
142,1
143,1
144,0.999
145,1
146,0.999
147,0.389
148,0.172
149,1
150,0.999
151,1
152,0.502
153,1
154,0.997
155,1
156,0.998
157,1
158,1
159,0.923
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,0.771
168,1
169,1
170,0.999
171,1
172,1
173,0.977
174,1
175,1
176,1
177,0.998
178,0.994
179,1
180,1
181,0.987
182,1
183,0.867
184,0.998
185,1
186,0.88
187,1
188,0.988
189,0.055
190,1
191,1
192,1
193,0.998
194,1
195,0.995
196,1
197,1
198,1
199,1
200,0.78
201,1
202,1
203,1
204,0.993
205,0.997
206,1
207,1
208,1
209,0.102
210,0.4
211,0.353
212,1
213,1
214,0.999
215,1
216,0.961
217,0.759
218,1
219,1
220,0.873
221,0.001
222,1
223,1
224,1
225,0.454
226,0.904
227,1
228,1
229,1
230,1
231,1
232,1
233,0.999
234,0.025
235,0.993
236,1
237,0.813
238,0.938
239,0.986
240,1
241,1
242,0.114
243,0.795
244,1
245,1
246,1
247,1
248,1
249,0.898
250,1
251,0.998
252,0.906
253,1
254,1
255,1
256,1
257,1
258,0.999
259,0.943
260,1
261,0.985
262,1
263,1
264,1
265,1
266,1
267,0.33
268,1
269,0.354
270,1
271,1
272,1
273,1
274,0.096
275,1
276,0.998
277,0.994
278,0.999
279,1
280,0.217
281,1
282,1
283,0.227
284,0.976
285,1
286,0.964
287,1
288,1
289,1
290,1
291,0.031
292,0.197
293,1
294,0.998
295,0.999
296,0.793
297,0.064
298,0.837
299,0.166
300,0.999
301,0.873
302,1
303,0.881
304,0.998
305,1
306,1
307,1
308,1
309,0.999
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,0.482
318,1
319,0.019
320,1
321,1
322,0.649
323,1
324,1
325,0.999
326,0.553
327,1
328,1
329,1
330,1
331,1
332,1
333,0.958
334,1
335,1
336,0.991
337,1
338,0.993
339,1
340,1
341,1
342,0.993
343,1
344,1
345,0.998
346,1
347,1
348,1
349,0.999
350,0.897
351,0.901
352,1
353,0.999
354,0.788
355,0.998
356,1
357,1
358,1
359,1
360,0.681
361,0.534
362,0.966
363,0.846
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,0.991
372,1
373,0.198
374,0.618
375,1
376,1
377,1
378,1
379,1
380,0.973
381,1
382,1
383,1
384,1
385,0.998
386,0.998
387,0.215
388,1
389,1
390,1
391,0.735
392,1
393,0.993
394,0.998
395,1
396,0.977
397,1
398,0.992
399,1
400,0.999
401,0.999
402,0.999
403,1
404,0.981
405,1
406,1
407,0.991
408,1
409,0.995
410,1
